Symbol,Open,High,Low,Close,Beta,52Low,52High,Market Cap,Volume,Shares,Sector,Industry
BSX,52.43,52.771,51.91,52.69,0.7843,34.98,53.47,"74,655 M","8,878,420","1,437,328,024",Health Care,Health Care Equipment & Supplies
CAH,79.04,81.44,77.56,81.64,0.7602,49.7,82.64,"20,825 M","3,309,350","257,639,059",Health Care,Health Care Providers & Services
CI,243.59,244.51,241.06,246,0.5899,240.11,340.11,"72,384 M","1,564,004","297,032,506",Health Care,Health Care Providers & Services
CTLT,48.88,50.3,48.3,48.84,1.161,40.69,115.335,"8,866 M","3,421,175","180,090,483",Health Care,Pharmaceuticals
CVS,69.61,70.1682,68.1038,70.08,0.6042,71.65,107.26,"88,191 M","10,416,410","1,282,025,283",Health Care,Health Care Providers & Services
DGX,135.73,135.8197,134.295,136.57,0.9272,120.4,158.3356,"15,167 M","594,624","112,009,197",Health Care,Health Care Providers & Services
DHR,245.27,245.4,241.945,245.57,0.79,227,303.82,"178,815 M","2,357,579","737,898,789",Health Care,Life Sciences Tools & Services
DVA,87.91,88.07,86.27,88.16,0.9208,65.28,106.71,"7,906 M","483,575","90,653,682",Health Care,Health Care Providers & Services
DXCM,116.5,117.87,116.03,117.32,1.053,66.8925,125.55,"45,516 M","1,765,812","387,635,623",Health Care,Health Care Equipment & Supplies
ELV,458,459.52,452.19,458.18,0.8056,440.02,549.52,"108,261 M","695,621","237,055,805",Health Care,Health Care Providers & Services
GEHC,79.62,80.26,77.69,79.71,1.028,53,87.83,"35,583 M","1,751,465","454,677,236",Health Care,Health Care Equipment & Supplies
GILD,79.61,79.68,78.41,79.45,0.3846,57.165,89.74,"97,993 M","4,564,159","1,248,000,000",Health Care,Biotechnology
HCA,278.63,280.345,275.25,278.21,1.641,164.47,289.35,"76,373 M","1,460,333","275,089,285",Health Care,Health Care Providers & Services
HUM,530.27,530.7,523.64,529.79,0.6901,410.87,571.3,"66,033 M","549,307","124,944,994",Health Care,Health Care Providers & Services
ILMN,196.5,197.135,193.47,196.54,1.159,173.45,306.48,"31,026 M","970,426","158,052,357",Health Care,Life Sciences Tools & Services
IQV,186.51,187.565,183.74,187.02,1.362,165.75,249.11,"34,215 M","1,340,085","185,549,128",Health Care,Life Sciences Tools & Services
ISRG,303.53,304.99,300.79,305.06,1.297,180.07,303.0999,"106,244 M","1,402,161","350,398,068",Health Care,Health Care Equipment & Supplies
JNJ,162.68,162.9,161.25,162.87,0.5311,150.11,183.3506,"421,333 M","5,127,992","2,598,734,075",Health Care,Pharmaceuticals
LH,224.73,225.345,221.54,225.99,1.055,200.32,263.125,"19,624 M","476,735","88,500,941",Health Care,Health Care Providers & Services
LLY,431.45,432.7,425.22,431.19,0.3527,283,411.54,"406,706 M","4,070,697","949,272,933",Health Care,Pharmaceuticals
MCK,353.64,357.48,352.34,354.42,0.5613,298.69,401.78,"48,619 M","1,041,722","136,939,227",Health Care,Health Care Providers & Services
MDT,90,90.14,88.78,90.69,0.7208,75.765,106.33,"118,767 M","4,780,896","1,330,423,708",Health Care,Health Care Equipment & Supplies
