Symbol,Open,High,Low,Close,Adj Close,Volume,52High,52Low
LILAK,9.44,9.5001,9.32,,,"812,637",19.95,8.02
LIND,7.75,7.81,7.48,,,"241,314",19.29,3.01
LITE,87.47,90.33,86.6868,,,"1,234,729",93.23,48.44
LIVN,57.81,58.1,56.51,,,"970,655",87.45,33.4
LIVX,3.91,4.265,3.8,,,"1,422,509",4.89,0.72
LJPC,4.15,4.35,4.07,,,"509,955",11.41,2.3
LKFN,45.9,46.18,45.06,,,"59,614",50,30.49
LL,21.15,21.79,20.35,,,"1,500,766",20.74,3.77
LLNW,6.11,6.58,6.065,,,"12,789,116",8.19,2.23
LMAT,28.93,29.04,28,,,"128,850",38.64,18.76
LMNR,14.13,14.22,13.7,,,"34,999",21.85,10.6
LMNX,36.7,37.86,36.38,,,"561,964",40.21,17.345
LNDC,9.395,9.56,8.551,,,"173,756",12.46,7.48
LNN,101.22,101.64,98.36,,,"52,323",111.76,71.86
LNTH,16.34,16.5,15.63,,,"706,604",27.12,8.67
LOB,16.11,16.55,15.9,,,"283,424",20.46,7.57
LOCO,15.76,16.13,15.59,,,"272,094",16.65,6.1485
LOGC,8.87,9.14,8.791,,,"52,225",14,3.05
LORL,18.85,19.24,18.72,,,"66,052",42.7678,13.68
LOVE,29.41,31.299,28.73,,,"554,650",32,3.995
LPG,8.18,8.26,7.76,,,"448,393",16.68,6.08
LPI,15.51,15.72,14.79,,,"321,161",1370,10.8402
LPSN,39.37,42.0399,39.14,,,"1,042,609",45.35,14.08
LPX,29.91,30.77,29.575,,,"1,573,809",34.35,12.97
LQDA,6.06,6.7,6,,,"815,689",12.1,2.65
LQDT,5.15,5.33,5.06,,,"228,009",8.34,3.01
LRN,46.33,49.87,45.2802,,,"2,092,039",50.49,15.06
LSCC,29.24,30.25,28.93,,,"973,889",31.33,13.54
LTC,38.21,38.586,37.7501,,,"242,279",53.04,24.49
LTHM,7.04,7.05,6.68,,,"2,817,558",12.29,3.95
LTRPA,2.37,2.46,2.31,,,"644,702",12.41,0.8578
LXFR,13.05,13.1,12.9,,,"90,561",21.4074,10.27
LXP,10.95,11.07,10.85,,,"1,486,163",11.815,7.86
LXRX,1.82,1.9401,1.81,,,"3,187,495",5.76,1.125
LXU,1.09,1.13,1.09,,,"233,476",6.76,1
LZB,28.4,28.86,28.12,,,"214,869",37.48,15.61
MANT,66.47,67.455,66.0175,,,"129,590",93.99,55.2475
MATW,19.83,20.06,19.41,,,"235,171",40.36,17.01
MATX,36.26,36.3,35.58,,,"272,910",42.155,23.75
MAXR,16.36,17.33,16.27,,,"893,495",21.45,6.06
MBI,7.68,7.79,7.58,,,"627,534",10.8999,4.93
MBII,1.18,1.2,1.15,,,"96,098",1.73,0.6101
MBIN,17.06,17.16,16.61,,,"10,995",21.9,12.37
MBIO,3.28,3.4785,3.22,,,"1,042,417",4.85,1.78
MBUU,58.94,60.4599,56.77,,,"383,144",59.93,18.02
MBWM,22.66,22.93,22.09,,,"34,240",37.3168,18.64
MC,30.69,31.065,30.5,,,"519,969",41.27,22.11
MCB,30.77,31.35,30.53,,,"28,415",51.09,15.52
MCBC,7.39,7.47,7.27,,,"69,675",11.42,6.01
MCFT,22.11,23.1199,21.6,,,"166,299",22.98,4.9
MCHX,1.71,1.765,1.7,,,"136,743",4.53,1.1
MCRB,4.42,4.78,4.4,,,"524,333",6.75,2.15
MCRI,34.91,36.4541,33.78,,,"143,050",57.57,12.83
MCS,15,15.18,14.48,,,"205,755",37.64,6.95
MDC,41.11,43.33,40.55,,,"564,042",48.99,15.75
MDCA,2.06,2.13,2.0301,,,"134,335",3.43,1.01
MDGL,108.42,112.67,107.745,,,"64,116",127.25,56.82
